Time(Iteration),LinUCBTheta
0,0.9962581484493581
1,0.9805497745911925
2,0.9609091721348959
3,0.9427274678578849
4,0.9277349051028214
5,0.9202314730131705
6,0.9138889813682939
7,0.9060444179524987
8,0.8849135927102584
9,0.8744475234304986
10,0.8672157748862226
11,0.8615694861303632
12,0.8582982467183307
13,0.8520043739010033
14,0.8330340751337548
15,0.826868026758018
16,0.8174707604880375
17,0.8085395562759746
18,0.8033353266213762
19,0.7911553039283811
20,0.7842971254980041
21,0.7765903777539545
22,0.7719766477825998
23,0.7661745454967207
24,0.7561916708094656
25,0.7507196297362488
26,0.7368591092271005
27,0.7311274810549371
28,0.7279354741910822
29,0.7238162513249041
30,0.721110941505056
31,0.7159436805227497
32,0.7106809155684987
33,0.7076109875539436
34,0.7025562658687321
35,0.6994345911502837
36,0.6954258724325685
37,0.6874873613939689
38,0.6832418907951096
39,0.6805218671454543
40,0.6796540129263751
41,0.6796491399759212
42,0.6769811656579846
43,0.6757856465503355
44,0.6744784457364784
45,0.6716325778883931
46,0.6671110523330921
47,0.6661802048279163
48,0.6629810831810227
49,0.6616920865831327
50,0.6607456316762859
51,0.6589261398636668
52,0.6589245293150687
53,0.6569957521395753
54,0.6533529226342455
55,0.6504462625576555
56,0.6463162312405025
57,0.6460708080898341
58,0.6448893162413236
59,0.6408783876180622
60,0.6392212481938854
61,0.6387371265244252
62,0.635812632874617
63,0.6341459599772843
64,0.632935201378489
65,0.6322246274821582
66,0.6267096086633356
67,0.6263342912408137
68,0.6254891276374981
69,0.6243696700481574
70,0.6239459930638351
71,0.6241225455698094
72,0.6229877188909352
73,0.6222843837196084
74,0.6204243377354345
75,0.6190770166796185
76,0.6166790531337247
77,0.6166315799344092
78,0.6159025256613428
79,0.6143838869314788
80,0.6134786528410248
81,0.61241762463937
82,0.6117522904234007
83,0.6115600698869857
84,0.6116030645181819
85,0.6078281171198725
86,0.6062175177026503
87,0.6048778201598319
88,0.6035074451320364
89,0.6029920945758408
90,0.6024529011547781
91,0.60217491500692
92,0.5995465383961492
93,0.5988687693015085
94,0.598232729428752
95,0.5970092242280962
96,0.595283284620677
97,0.5951800931892902
98,0.5917546714987952
99,0.5914554582813865
